School,Classification,coop
"Valley, West Des Moines",4A,
Southeast Polk,4A,
"Des Moines, Lincoln",4A,
Johnston,4A,
"Linn-Mar, Marion",4A,
"Des Moines, East",4A,
"Waukee, Northwest",4A,
Ankeny Centennial,4A,
"Des Moines, Roosevelt",4A,
"Iowa City, City High",4A,West Branch
Ankeny,4A,
"Waterloo, West",4A,
Cedar Falls,4A,
Waukee,4A,
"Prairie, Cedar Rapids",4A,
"Cedar Rapids, Kennedy",4A,
Pleasant Valley,4A,
"Sioux City, North",4A,
"Cedar Rapids, Jefferson",4A,
Marshalltown,4A,
"Dubuque, Hempstead",4A,
Bettendorf,4A,"Morning Star Academy, Bettendorf"
Muscatine,4A,
"Iowa City, West",4A,
"Davenport, Central",4A,
"Sioux City, East",4A,
Ottumwa,4A,
"Davenport, West",4A,
"Dubuque, Senior",4A,
Ames,4A,
"Des Moines, North",4A,
"Davenport, North",4A,
"Council Bluffs, Abraham Lincoln",4A,
Urbandale,4A,
"Dowling Catholic, West Des Moines",4A,
"Cedar Rapids, Washington",4A,
"Sioux City, West",4A,
"Council Bluffs, Thomas Jefferson",4A,
"Iowa City, Liberty",4A,
"Waterloo, East",4A,
Indianola,4A,
Fort Dodge,4A,
Burlington,4A,
Mason City,4A,
"North Scott, Eldridge",4A,
Norwalk,4A,
Clinton,4A,
Dallas Center-Grimes,4A,
Lewis Central,3A,
"Des Moines, Hoover",3A,
"Epworth, Western Dubuque",3A,
Newton,3A,
"Kuemper Catholic, Carroll",3A,Carroll
Storm Lake,3A,"St. Mary's, Storm Lake"
Denison-Schleswig,3A,
Waverly-Shell Rock,3A,
Bondurant-Farrar,3A,
Pella,3A,
Clear Creek Amana,3A,
Carlisle,3A,
Boone,3A,
Marion,3A,
Le Mars,3A,
Spencer,3A,
"ADM, Adel",3A,
Mount Vernon-Lisbon,3A,Lisbon
"North Polk, Alleman",3A,
"Xavier, Cedar Rapids",3A,Isaac Newton Christian Academy
Keokuk,3A,
Oskaloosa,3A,
Glenwood,3A,
Perry,3A,
Mount Pleasant,3A,
BK-CGD,3A,Clarion-Goldfield-Dows
Iowa Falls - Alden/AGWSR,3A,"AGWSR, Ackley"
Decorah,3A,
Webster City,3A,
Winterset,3A,
Fort Madison,3A,
Maquoketa,3A,
Central DeWitt,3A,
Sergeant Bluff-Luton,3A,
Ballard,3A,
Gilbert,3A,
Charles City,3A,
Creston,3A,
Humboldt,3A,
Knoxville,3A,
Sioux Center,3A,
"Bishop Heelan Catholic, Sioux City",3A,
Nevada,3A,
Benton Community,3A,
MOC-Floyd Valley,3A,
Boyden-Hull/Rock Valley,3A,Rock Valley
Solon,3A,
Independence,3A,
Harlan Community,3A,
Atlantic,3A,
"West Delaware, Manchester",3A,
Hampton-Dumont -CAL,3A,
Algona,3A,
"South Tama County, Tama",3A,
Clear Lake,3A,
Grinnell,3A,
Washington,3A,
Center Point-Urbana,3A,
"Clarke, Osceola",3A,
Fairfield,3A,
"Wahlert, Dubuque",3A,
Saydel,3A,
Greene County,3A,Paton-Churdan
"Assumption, Davenport",3A,
"Davis County, Bloomfield",2A,
Williamsburg,2A,
Vinton-Shellsburg,2A,
Chariton,2A,
Notre Dame / West Burlington,2A,West Burlington
Anamosa,2A,
Centerville,2A,
Waukon,2A,
Albia,2A,
Spirit Lake,2A,
Okoboji,2A,
Estherville Lincoln Central,2A,
"Crestwood, Cresco",2A,
West Liberty,2A,
PCM,2A,
"Mid-Prairie, Wellman",2A,
Clarinda,2A,
Des Moines Christian,2A,
"Southeast Valley, Gowrie",2A,
George-Little Rock/Central Lyon,2A,Central Lyon
"Cherokee, Washington",2A,
"Roland-Story, Story City",2A,
Oelwein,2A,
Monticello,2A,
"Union, LaPorte City",2A,
Sheldon,2A,
South Central Calhoun,2A,Glidden-Ralston
"Central Lee, Donnellson",2A,
New Hampton,2A,
Forest City,2A,
Red Oak,2A,
North Fayette Valley,2A,
"West Marshall, State Center",2A,
Mediapolis,2A,
Eagle Grove,2A,
WC-KP,2A,Kingsley-Pierson
Tipton,2A,
"West Lyon, Inwood",2A,
OABCIG,2A,
Garner-Hayfield-Ventura,2A,
"Unity Christian, Orange City",2A,
Camanche,2A,
Van Meter,2A,
Osage,2A,
"Western Christian, Hull",2A,
"Northeast, Goose Lake",2A,
MVAOCOU,2A,
Jesup,2A,
Shenandoah,2A,
